id,quality
1257,5.92
6409,5.69
136,5.36
1631,6.2
6084,5.51
5434,4.5
1094,5.46
5146,5.02
5921,5.27
1076,5.71
616,5.34
4336,5.19
219,5.46
6403,4.81
2397,5.24
5240,5.72
3696,5.24
1070,4.38
5890,4.2
1270,5.81
4641,3.9
5299,5.63
2494,5.59
5276,4.91
332,4.8
3671,4.43
6367,5.56
5681,5.52
1741,4.35
4715,5.64
1114,5.66
4105,5.67
825,5.52
88,5.49
4551,5.58
227,5.21
1369,5.61
3722,5.35
2341,5.71
4882,5.6
2382,5.84
4075,5.4
687,5.31
2350,4.33
2634,4.6
5751,5.73
5934,5.7
6286,5.61
6004,4.4
4696,5.07
5628,5.04
3066,5.48
6267,5.32
3950,5.28
1834,4.54
848,5.4
5852,4.16
3034,4.73
1074,5.4
1184,5.42
3788,4.43
3267,5.56
5640,5.7
2076,4.27
4634,4.47
2075,4.66
5741,5.78
5008,5.62
1485,5.49
2010,4.28
1899,5.66
3514,5.76
5819,4.14
5040,4.56
3998,4.61
6425,5.3
1733,5.01
2925,4.2
1528,5.81
2332,5.55
3492,5.59
6177,5.51
5338,5.52
2599,5.73
512,5.71
5118,5.43
4024,4.87
1095,4.6
965,5.51
1163,5.7
5773,5.68
4154,5.45
2968,5.62
2294,5.6
2652,5.61
4632,5.73
4585,5.6
754,5.91
3471,4.95
3506,5.53
1513,5.45
210,5.66
664,5.58
6414,5.67
2418,5.45
2468,5.35
1127,4.64
4820,5.7
495,4.33
6256,5.4
2732,5.28
3053,5.51
2954,4.64
3663,4.41
4410,5.62
2153,4.76
4691,5.65
2971,4.87
2616,5.59
102,5.41
1610,5.44
3766,5.17
3072,5.47
2951,5.6
2087,5.42
4593,5.41
6184,5.9
3347,5.88
2806,4.82
3083,4.5
1815,5.75
4814,4.98
6316,5.38
6480,5.66
6471,4.46
3173,5.51
3539,5.03
1247,5.55
2778,5.07
3534,6.13
963,5.69
708,5.51
4145,5.33
1594,5.28
5734,5.7
1304,5.38
3748,5.57
6189,5.51
3245,5.57
3697,4.58
1859,4.26
475,5.58
4161,5.66
775,5.54
2486,5.47
2791,5.49
3583,4.31
6186,5.45
5924,5.57
4788,4.84
2589,5.41
5305,5.35
3164,4.14
451,5.44
2376,4.77
13,5.07
4807,5.22
2748,5.47
4499,5.15
5033,5.91
2910,4.32
5570,4.44
2488,6.2
4109,4.72
4195,5.63
1881,5.89
2242,5.48
758,5.09
1474,5.53
5610,5.6
5587,4.45
1970,5.84
2657,5.74
4859,4.6
4333,5.57
6492,5.48
543,5.61
4270,4.79
3804,4.44
450,5.6
2786,5.05
3967,5.73
5568,5.6
2682,5.58
2277,4.97
3946,4.36
4308,5.67
856,5.8
1279,5.5
3987,5.32
5536,5.55
345,5.44
2172,4.31
2834,5.31
1286,5.6
6350,4.58
1908,5.02
5070,4.38
2933,6.2
1486,5.53
4128,5.28
1882,5.77
2937,5.56
4329,5.4
3839,4.45
4457,5.57
2773,5.03
4055,5.87
2437,5.78
1307,5.52
2912,4.11
987,4.49
5726,5.91
5554,4.87
3931,4.57
31,5.32
2800,5.6
3738,5.3
2716,4.26
270,5.8
5752,4.53
6226,4.88
3880,5.37
1258,5.65
2441,5.37
5410,5.59
5912,5.54
1411,4.86
3584,4.68
6234,4.51
4577,4.36
5471,5.65
2354,4.82
4310,5.07
4225,4.31
521,5.65
2938,5.35
5865,5.48
5590,5.71
372,4.36
6059,5.58
167,5.45
5936,5.78
5411,5.75
3507,5.6
3654,5.64
759,5.27
4614,5.73
4273,5.72
64,5.51
5986,5.68
4396,5.54
4671,4.48
3488,5.63
1642,5.53
3585,4.97
5097,5.38
4275,5.01
3157,4.78
3754,5.55
1045,5.45
4171,5.4
5257,5.44
277,4.91
3156,5.56
2513,5.21
6224,5.5
6300,5.62
2538,5.64
817,4.81
5565,5.03
4531,5.1
5999,4.31
2424,4.72
1056,4.49
2361,6.2
1896,4.48
804,5.39
4521,4.31
2337,5.44
980,5.57
3817,5.49
5550,5.53
2979,4.58
3357,5.56
2168,5.05
4570,5.47
4485,4.31
1830,4.97
4891,5.36
3284,6.06
1248,5.41
3168,5.58
2071,4.64
288,4.75
5346,4.49
4146,4.44
961,5.51
610,5.49
4727,4.94
479,5.05
4092,5.62
5548,5.56
5666,5.77
2394,4.53
3528,5.69
192,4.76
5749,5.66
3087,5.28
2813,4.47
3274,4.74
5594,4.8
1805,5.58
5193,4.75
436,4.82
400,5.49
356,4.84
4983,5.54
6441,5.21
4676,5.99
1191,5.45
5790,5.67
1314,5.4
2624,4.14
5625,5.08
3846,5.53
1718,5.51
4376,5.6
1837,4.96
5659,5.57
4591,4.4
1892,5.57
742,4.59
702,5.51
2174,4.56
172,5.36
255,5.72
1173,4.26
5078,5.38
425,5.24
3670,5.76
3355,4.36
662,5.13
2425,4.5
686,5.63
2836,5.92
292,5.27
1501,5.77
2282,4.46
2935,5.5
3934,5.97
3297,5.8
337,5.64
4643,5.42
3957,5.81
6133,5.59
5225,5.74
5913,5.44
4929,5.51
3364,6.2
1004,5.62
2201,4.9
5390,5.56
4444,5.38
4232,5.68
3204,5.63
2899,4.61
1640,5.51
974,5.16
5186,5.51
1680,4.74
4996,5.5
2302,5.17
5404,4.76
333,5.51
4023,5.6
2710,4.98
731,5.46
4424,4.73
4900,5.62
2195,5.65
5774,5.81
1431,5.52
3571,5.17
3940,5.07
3071,5.48
3502,5.7
4107,5.73
4223,5.47
2327,5.83
4181,5.72
216,5.09
5044,4.22
1898,4.26
3887,5.52
